program_id;university;program_name;full_description;subjects;min_scores;program_type;specialization_focus;city;study_duration;degree_level
11;МАИ;Авиастроение;Проектирование гражданских самолетов, аэродинамика, системы управления. Изучают CATIA, ANSYS Fluent, композитные материалы. Выпускники работают в ОАК, у Ильюшина, в Boeing, Airbus;математика,русский,физика;78,65,80;Инженерия;Гражданская авиация;Москва;4;Бакалавриат
12;МГТУ им. Н.Э. Баумана;Робототехника;Проектирование и программирование промышленных роботов и автономных систем. Изучают мехатронику, системы управления, компьютерное зрение, ROS. Карьера в КАМАЗ, Ростехе, робототехнических стартапах;математика,русский,физика;80,68,82;Инженерия;Промышленные роботы;Москва;4;Бакалавриат
13;СПбГПУ;Электроэнергетика;Возобновляемые источники энергии, ветряные и солнечные электростанции. Изучают фотоэлектрические системы, ветрогенераторы, накопители энергии, smart grid. Выпускники работают в Роснано, Hevel Solar, зарубежных энергокомпаниях;математика,русский,физика;76,64,78;Инженерия;ВИЭ;Санкт-Петербург;4;Бакалавриат
14;МГСУ;Строительство;Промышленное и гражданское строительство, проектирование зданий. Изучают AutoCAD, Revit, расчет конструкций, сметное дело. Карьера в строительных компаниях ПИК, ГК Эталон, мостостроительных организациях;математика,русский,физика;75,63,77;Инженерия;ПГС;Москва;4;Бакалавриат
15;РГУ нефти и газа;Нефтегазовое дело;Транспортировка и хранение углеводородов, проектирование трубопроводов. Изучают магистральные трубопроводы, коррозионную защиту, логистику СПГ. Выпускники работают в Транснефти, Газпроме, сервисных компаниях;математика,русский,физика;78,66,80;Инженерия;Транспортировка нефти;Москва;4;Бакалавриат
16;Первый МГМУ им. И.М. Сеченова;Лечебное дело;Терапия, внутренние болезни, общая врачебная практика. Изучают диагностику, фармакологию, ведение пациентов с хроническими заболеваниями. Выпускники работают в поликлиниках, терапевтических отделениях больниц;химия,биология,русский;85,88,75;Медицина;Терапия;Москва;6;Специалитет
17;РНИМУ им. Н.И. Пирогова;Лечебное дело;Педиатрия, детские болезни, неонатология. Изучают особенности детского организма, вакцинацию, развитие ребенка. Карьера в детских поликлиниках, больницах, перинатальных центрах;химия,биология,русский;84,87,74;Медицина;Педиатрия;Москва;6;Специалитет
18;СЗГМУ им. И.И. Мечникова;Лечебное дело;Хирургия, оперативные вмешательства, травматология. Изучают анатомию, оперативную технику, реаниматологию, переливание крови. Выпускники работают в хирургических отделениях, скорой помощи, травмпунктах;химия,биология,русский;83,86,73;Медицина;Хирургия;Санкт-Петербург;6;Специалитет
19;МГМСУ им. А.И. Евдокимова;Стоматология;Терапевтическая стоматология, лечение кариеса, эндодонтия. Изучают препарирование зубов, пломбировочные материалы, рентгенодиагностику. Выпускники работают в стоматологических поликлиниках и частных клиниках;химия,биология,русский;82,85,73;Медицина;Терапевтическая стоматология;Москва;5;Специалитет
20;ОмГМУ;Стоматология;Челюстно-лицевая хирургия, травмы, опухоли, врожденные дефекты. Изучают оперативные вмешательства на челюстях, пластическую хирургию лица. Выпускники работают в челюстно-лицевых отделениях больниц;химия,биология,русский;81,83,72;Медицина;Челюстно-лицевая хирургия;Омск;5;Специалитет
21;МГХПА им. С.Г. Строганова;Дизайн;Промышленный дизайн, эргономика, проектирование изделий. Изучают скетчинг, 3D-моделирование (Rhino), материаловедение, историю дизайна. Выпускники работают в автомобильном дизайне, мебельных компаниях, consumer electronics;русский,литература,рисунок;68,72,86;Творческое;Промышленный дизайн;Москва;4;Бакалавриат
22;НИУ ВШЭ;Дизайн;Цифровой дизайн, UX/UI, дизайн-мышление. Изучают Figma, Adobe Creative Suite, пользовательские исследования, прототипирование. Карьера в IT-компаниях, digital-агентствах, продуктовом дизайне;русский,литература,информатика;78,80,82;Творческое;Цифровой дизайн;Москва;4;Бакалавриат
23;СПбГУ;Дизайн;Графический дизайн, типографика, брендинг. Изучают композицию, цветоведение, леттеринг, упаковку, айдентику. Выпускники работают в рекламных агентствах, издательствах, на фрилансе;русский,литература,рисунок;75,78,84;Творческое;Графический дизайн;Санкт-Петербург;4;Бакалавриат
24;МАрхИ;Архитектура;Градостроительство, планировка городов, урбанистика. Изучают генпланы, транспортные системы, экологию города, историю градостроительства. Карьера в проектных институтах, администрациях городов, девелоперских компаниях;математика,русский,рисунок;78,75,85;Творческое;Градостроительство;Москва;5;Специалитет
25;ГИТИС;Актерское искусство;Актер драматического театра и кино, сценическая речь, движение. Изучают актерское мастерство, историю театра, сценическое движение, грим. Выпускники работают в театрах, кино, на телевидении;русский,литература,творческий экзамен;70,75,90;Творческое;Актер драматического театра;Москва;4;Бакалавриат
26;МГУ;Экономика;Макроэкономика, экономическая теория, государственное регулирование. Изучают экономические модели, денежно-кредитную политику, международную экономику. Карьера в Минэкономразвития, ЦБ, аналитических центрах;математика,русский,обществознание;84,78,82;Экономика;Макроэкономика;Москва;4;Бакалавриат
27;НИУ ВШЭ;Экономика;Микроэкономика, теория игр, экономика фирмы. Изучают поведение потребителей, рыночные структуры, контрактную теорию. Выпускники работают в консалтинге, корпоративных стратегических отделах, аналитических центрах;математика,русский,обществознание;83,77,81;Экономика;Микроэкономика;Москва;4;Бакалавриат
28;РЭУ им. Г.В. Плеханова;Экономика;Бухгалтерский учет, аудит, налогообложение. Изучают МСФО, российские стандарты учета, налоговое планирование. Карьера в Big4 (PwC, EY), финансовых отделах компаний, банках;математика,русский,обществознание;80,75,78;Экономика;Бухучет и аудит;Москва;4;Бакалавриат
29;СПбГУ;Экономика;Экономика и управление предприятием, корпоративные финансы. Изучают финансовый менеджмент, оценку бизнеса, инвестиционный анализ. Выпускники работают финансовыми директорами, бизнес-аналитиками в компаниях;математика,русский,обществознание;82,77,80;Экономика;Корпоративные финансы;Санкт-Петербург;4;Бакалавриат
30;УрФУ;Экономика;Региональная экономика, экономика Урала, промышленная политика. Изучают кластерный анализ, территориальное развитие, особенности промышленных регионов. Карьера в администрациях регионов, промышленных корпорациях, аналитических центрах;математика,русский,обществознание;78,73,76;Экономика;Региональная экономика;Екатеринбург;4;Бакалавриат
31;МГИМО;Международные отношения;Дипломатия, международное право, внешняя политика. Изучают два иностранных языка, протокол, переговорный процесс, международные организации. Выпускники работают в МИД, ООН, посольствах, международных корпорациях;история,русский,иностранный язык;88,85,90;Гуманитарное;Дипломатия;Москва;4;Бакалавриат
32;СПбГУ;Международные отношения;Европейские исследования, интеграция с ЕС, Балтийский регион. Изучают право ЕС, европейские институты, языки Европы. Карьера в компаниях, работающих с Европой, европейских представительствах в России;история,русский,иностранный язык;85,82,88;Гуманитарное;Европейские исследования;Санкт-Петербург;4;Бакалавриат
33;МГУ;Журналистика;Телевизионная журналистика, репортажи, документальное кино. Изучают операторское мастерство, монтаж, сценарное дело, телевизионный продюсинг. Карьера на федеральных телеканалах, в продюсерских центрах, на YouTube;русский,литература,история;84,86,82;Гуманитарное;ТВ-журналистика;Москва;4;Бакалавриат
34;НИУ ВШЭ;Журналистика;Цифровая журналистика, онлайн-медиа, социальные сети. Изучают SMM, контент-маркетинг, data journalism, медиааналитику. Выпускники работают в медиахолдингах, digital-агентствах, корпоративных медиа;русский,литература,история;82,84,80;Гуманитарное;Цифровая журналистика;Москва;4;Бакалавриат
35;МГУ;Психология;Клиническая психология, психотерапия, психодиагностика. Изучают патопсихологию, методы психотерапии, работу с психическими расстройствами. Выпускники работают в клиниках, частной практике, реабилитационных центрах;биология,русский,обществознание;83,85,81;Гуманитарное;Клиническая психология;Москва;4;Бакалавриат
36;МГЮА;Юриспруденция;Гражданское право, договорное право, корпоративное право. Изучают Гражданский кодекс, арбитражный процесс, сделки, юридические лица. Карьера в юридических фирмах, корпоративных юротделах, нотариате;русский,обществознание,история;85,87,83;Право;Гражданское право;Москва;4;Бакалавриат
37;СПбГУ;Юриспруденция;Уголовное право, криминалистика, судебная экспертиза. Изучают Уголовный кодекс, уголовный процесс, криминологию, дактилоскопию. Выпускники работают в следственных органах, прокуратуре, адвокатуре;русский,обществознание,история;84,86,82;Право;Уголовное право;Санкт-Петербург;4;Бакалавриат
38;УрГЮУ;Юриспруденция;Предпринимательское право, сопровождение бизнеса, налоговое право. Изучают регистрацию бизнеса, лицензирование, банкротство, налоговые споры. Карьера в юридическом сопровождении компаний, консалтинге, налоговых органах;русский,обществознание,история;82,84,80;Право;Предпринимательское право;Екатеринбург;4;Бакалавриат
39;КФУ;Юриспруденция;Международное право, правовые системы мира, сравнительное правоведение. Изучают международные договоры, право ВТО, морское право, правовые традиции. Выпускники работают в международных компаниях, МИД, транснациональных корпорациях;русский,обществознание,история;83,85,81;Право;Международное право;Казань;4;Бакалавриат
40;СПбГУ;Юриспруденция;Интеллектуальная собственность, авторское право, патенты. Изучают защиту авторских прав, товарных знаков, изобретений, программного обеспечения. Карьера в IT-компаниях, фармацевтических корпорациях, патентных бюро;русский,обществознание,история;81,83,79;Право;Интеллектуальная собственность;Санкт-Петербург;4;Бакалавриат
41;МФТИ;Физика;Теоретическая физика, квантовая механика, теория поля. Изучают математические методы физики, релятивистскую квантовую механику, космологию. Карьера в научно-исследовательских институтах, академической науке, IT-компаниях;математика,русский,физика;89,75,88;Science;Теоретическая физика;Москва;4;Бакалавриат
42;МГУ;Физика;Экспериментальная физика, физика твердого тела, нанотехнологии. Изучают методы измерений, работу на ускорителях, создание новых материалов. Выпускники работают в научных лабораториях, высокотехнологичных компаниях, исследовательских центрах;математика,русский,физика;87,73,86;Science;Экспериментальная физика;Москва;4;Бакалавриат
43;СПбГУ;Астрономия;Астрофизика, космология, наблюдения за звездами. Изучают строение звезд, черные дыры, реликтовое излучение, работу телескопов. Карьера в обсерваториях, космических агентствах, научных центрах, планетариях;математика,русский,физика;86,72,85;Science;Астрофизика;Санкт-Петербург;4;Бакалавриат
44;МГУ;Химия;Органическая химия, синтез новых соединений, лекарства. Изучают реакции органического синтеза, спектроскопию, дизайн молекул. Карьера в фармацевтических компаниях, научно-исследовательских институтах, химической промышленности;химия,русский,математика;86,78,84;Science;Органическая химия;Москва;4;Бакалавриат
45;СПбГУ;Биология;Молекулярная биология, генетика, биотехнологии. Изучают ДНК, белки, клеточные процессы, генную инженерию. Карьера в биотех-стартапах, фармацевтике, научных институтах, медицинских лабораториях;биология,русский,химия;85,80,83;Science;Молекулярная биология;Санкт-Петербург;4;Бакалавриат
46;МГУ;Лингвистика;Теоретическая лингвистика, структура языка, фонетика, морфология. Изучают универсальную грамматику, языковые универсалии, историю языков. Карьера в научных институтах, преподавании, разработке лингвистического софта;русский,иностранный язык,история;84,88,82;Гуманитарное;Теоретическая лингвистика;Москва;4;Бакалавриат
47;НИУ ВШЭ;Управление персоналом;HR-аналитика, data-driven HR, метрики эффективности. Изучают анализ кадровых данных, HR-метрики, прогнозную аналитику, системы управления талантами. Выпускники работают в IT-компаниях, корпорациях с продвинутым HR;обществознание,русский,математика;81,83,79;Гуманитарное;HR-аналитика;Москва;4;Бакалавриат
48;МИФИ;Ядерная физика и технологии;Ядерные реакторы, радиационная безопасность, топливный цикл. Изучают физику реакторов, системы защиты, радиохимию, управление ядерными материалами. Карьера в Росатоме, на АЭС, в научно-исследовательских институтах;математика,русский,физика;82,70,84;Инженерия;Ядерная энергетика;Москва;4;Бакалавриат
49;ДВФУ;Востоковедение;Китайский язык и культура, экономика АТР, международные отношения в Азии. Изучают китайский язык, историю Китая, экономику Азиатско-Тихоокеанского региона. Выпускники работают в компаниях, торгующих с Китаем, консульствах, туризме;история,русский,иностранный язык;78,75,82;Гуманитарное;Китаеведение;Владивосток;4;Бакалавриат
50;РГГУ;Музеология и охрана объектов культурного наследия;Музейное дело, сохранение культурного наследия, экспозиционная деятельность. Изучают фондовую работу, реставрацию, музейный менеджмент, историю искусства. Карьера в музеях, галереях, архивах, культурных центрах;история,русский,обществознание;77,80,79;Гуманитарное;Музеология;Москва;4;Бакалавриат
51;СПбГУ;Прикладная математика;Криптография, теория кодирования, математические основы защиты информации. Изучают алгебраические структуры, эллиптические кривые, протоколы шифрования, алгоритмы шифрования. Выпускники работают в ФСБ, банках, blockchain проектах, компаниях информационной безопасности;математика,русский,информатика;85,74,84;IT;Криптография;Санкт-Петербург;4;Бакалавриат
52;НГУ;Прикладная математика;Вычислительная геометрия, компьютерная графика, CAD системы. Изучают алгоритмы рендеринга, обработку изображений, 3D моделирование, геометрические алгоритмы. Карьера в игровой индустрии, разработке САПР, компьютерном зрении, анимации;математика,русский,информатика;83,72,83;IT;Компьютерная графика;Новосибирск;4;Бакалавриат
53;ИТМО;Кибербезопасность;Защита веб-приложений, анализ уязвимостей, penetration testing. Изучают Kali Linux, методы взлома и защиты, reverse engineering, OWASP Top 10. Выпускники работают в Group-IB, Positive Technologies, банках, пентестинговых компаниях;математика,русский,информатика;84,70,86;IT;Web Security;Санкт-Петербург;4;Бакалавриат
54;МИФИ;Кибербезопасность;Защита критической инфраструктуры, безопасность АСУ ТП, промышленных систем. Изучают системы защиты АСУ ТП, безопасность ядерных объектов, нормативную базу, SCADA security. Выпускники работают в Росатоме, Ростехе, на опасных производствах, в силовых структурах;математика,русский,информатика;83,69,85;IT;Industrial Security;Москва;4;Бакалавриат
55;МГТУ;Кибербезопасность;Embedded security, защита IoT устройств, аппаратная безопасность. Изучают secure boot, TPM, защиту микроконтроллеров, side-channel attacks, hardware security modules. Выпускники работают в Кaspersky, Лаборатории Касперского, производителях IoT устройств;математика,русский,информатика;82,68,84;IT;IoT Security;Москва;4;Бакалавриат
56;СПбГУАП;Авиастроение;Беспилотные летательные аппараты, дроны, автономные системы. Изучают системы наведения, компьютерное зрение для дронов, роевой интеллект, аэродинамику БПЛА. Карьера в Кронштадт, Zala Aero, Геоскан, стартапах в области дронов;математика,русский,физика;76,64,78;Инженерия;БПЛА;Санкт-Петербург;4;Бакалавриат
57;СПбГАСУ;Строительство;Историческая реставрация, сохранение культурного наследия, реконструкция зданий. Изучают старинные технологии строительства, консервацию памятников, исторические материалы, методы реставрации. Карьера в реставрационных компаниях, музеях, архитектурных бюро, работающих с историческими зданиями;математика,русский,история;74,65,76;Инженерия;Реставрация;Санкт-Петербург;4;Бакалавриат
58;ДВФУ;Строительство;Сейсмостойкое строительство, конструкции для сейсмических регионов, защита от цунами. Изучают динамику сооружений, сейсмическое районирование, расчет конструкций на сейсмические нагрузки. Выпускники работают на Сахалине, Камчатке, в Японии, в сейсмоопасных регионах;математика,русский,физика;73,62,75;Инженерия;Сейсмостойкость;Владивосток;4;Бакалавриат
59;ТюмГНГУ;Нефтегазовое дело;Разведка и добыча нефти, геология, бурение, разработка месторождений. Изучают сейсморазведку, моделирование пластов, технологии гидроразрыва, скважинную геофизику. Карьера в Лукойле, Роснефти, Газпром нефти, сервисных компаниях Schlumberger, Halliburton;математика,русский,физика;76,64,78;Инженерия;Нефтедобыча;Тюмень;4;Бакалавриат
60;УГНТУ;Нефтегазовое дело;Переработка нефти, нефтехимия, катализ, производство нефтепродуктов. Изучают технологические процессы, катализаторы, продукты переработки, оборудование НПЗ. Карьера на нефтеперерабатывающих заводах, в нефтехимических комбинатах, исследовательских центрах;химия,русский,физика;77,65,79;Инженерия;Нефтепереработка;Уфа;4;Бакалавриат
61;ИрНИТУ;Электроэнергетика;Энергетика Сибири, ГЭС, большие расстояния передач, энергосистемы удаленных районов. Изучают гидротурбины, ЛЭП, управление энергосистемами в суровых условиях, особенности северной энергетики. Выпускники работают на ГЭС, в МРСК Сибири, энергетических компаниях Восточной Сибири;математика,русский,физика;74,62,76;Инженерия;Гидроэнергетика;Иркутск;4;Бакалавриат
62;СГМУ;Лечебное дело;Сельская медицина, врачебная практика в удаленных районах, медицина катастроф. Изучают оказание помощи в условиях дефицита ресурсов, особенности сельского здравоохранения, организацию медицинской помощи в труднодоступных районах. Выпускники работают в ФАПах, районных больницах, службах медицины катастроф;химия,биология,русский;78,82,70;Медицина;Сельская медицина;Архангельск;6;Специалитет
63;ДВГМУ;Лечебное дело;Тропическая медицина, паразитарные болезни Дальнего Востока, медицинская энтомология. Изучают редкие инфекции, особенности болезней Азиатско-Тихоокеанского региона, медицинскую паразитологию. Карьера в инфекционных больницах, Роспотребнадзоре, научно-исследовательских институтах тропических болезней;химия,биология,русский;79,83,71;Медицина;Тропическая медицина;Хабаровск;6;Специалитет
64;СПбГМУ;Стоматология;Ортопедическая стоматология, протезирование, имплантология, CAD/CAM технологии. Изучают съемное и несъемное протезирование, зубные импланты, цифровые технологии в стоматологии. Карьера в стоматологических клиниках премиум-класса, специализированных центрах имплантологии;химия,биология,русский;83,84,74;Медицина;Ортопедическая стоматология;Санкт-Петербург;5;Специалитет
65;ЮУрГУ;Дизайн;Дизайн транспортных средств, автомобильный и авиационный дизайн, эргономика салонов. Изучают аэродинамику форм, эргономику салонов, концепт-кар дизайн, моделирование транспортных средств. Карьера в АвтоВАЗ, КамАЗ, Урал, авиастроительных компаниях, дизайн-студиях;русский,литература,рисунок;72,70,82;Творческое;Транспортный дизайн;Челябинск;4;Бакалавриат
66;КГИК;Дизайн;Дизайн костюма, fashion-индустрия, текстиль, конструирование одежды. Изучают конструирование одежды, историю костюма, модные иллюстрации, ткачество, технологию швейного производства. Выпускники работают в модных домах, театре, кино, на швейных производствах, дизайнерами одежды;русский,литература,рисунок;70,68,80;Творческое;Дизайн костюма;Краснодар;4;Бакалавриат
67;СПбГАСУ;Архитектура;Ландшафтная архитектура, парки, общественные пространства, садово-парковое искусство. Изучают дендрологию, почвоведение, ирригационные системы, историю садов, проектирование ландшафтов. Выпускники работают в ландшафтных бюро, ботанических садах, девелоперских компаниях, муниципалитетах;математика,русский,рисунок;76,73,83;Творческое;Ландшафтная архитектура;Санкт-Петербург;5;Специалитет
68;ВГИК;Режиссура кино и телевидения;Режиссура художественного кино, работа с актерами, операторское искусство, монтаж. Изучают режиссерское мастерство, кинодраматургию, операторскую работу, звукорежиссуру, продюсирование. Карьера в киноиндустрии, на телевидении, в производстве сериалов, рекламе;русский,литература,творческий экзамен;75,78,88;Творческое;Режиссура кино;Москва;5;Специалитет
69;МПГУ;Педагогическое образование;Подготовка учителей математики для школ, методика преподавания, педагогическая психология. Изучают математику, методику преподавания, возрастную психологию, педагогические технологии. Выпускники работают учителями математики в школах, гимназиях, лицеях, репетиторами;математика,русский,обществознание;75,78,76;Гуманитарное;Учитель математики;Москва;4;Бакалавриат
70;МГОУ;Педагогическое образование;Подготовка учителей начальных классов, методика начального образования, детская психология. Изучают педагогику начального образования, методику преподавания в начальной школе, развитие детей младшего школьного возраста. Карьера учителя начальных классов, воспитателя, методиста;русский,обществознание,математика;73,76,74;Гуманитарное;Учитель начальных классов;Москва;4;Бакалавриат
71;РГПУ им. Герцена;Педагогическое образование;Подготовка учителей иностранного языка (английский), методика преподавания языков. Изучают английский язык, методику преподавания, лингвистику, зарубежную литературу. Выпускники работают учителями английского языка в школах, языковых центрах, репетиторами;русский,иностранный язык,обществознание;76,82,78;Гуманитарное;Учитель английского;Санкт-Петербург;4;Бакалавриат
72;ТГПУ;Педагогическое образование;Подготовка учителей информатики, методика преподавания программирования в школе. Изучают информатику, программирование, методику преподавания IT-дисциплин, образовательные технологии. Карьера учителя информатики, педагога дополнительного образования, методиста;математика,русский,информатика;74,76,78;Гуманитарное;Учитель информатики;Томск;4;Бакалавриат
73;ЯГПУ;Педагогическое образование;Подготовка учителей истории, методика преподавания исторических дисциплин. Изучают историю, историографию, методику преподавания истории, основы археологии. Выпускники работают учителями истории, обществознания, в музеях, архивах;история,русский,обществознание;75,78,76;Гуманитарное;Учитель истории;Ярославль;4;Бакалавриат
